Zip,Count
11797,30
11798,45
11801,151
11803,103
11804,1
11901,83
11930,1
11934,26
11935,12
11940,2
11942,5
11944,3
11946,18
11947,9
11949,12
11950,10
11951,18
11952,2
11953,44
11954,9
11955,4
11956,7
11957,1
11960,6
11961,7
11963,4
11964,2
11965,1
11967,59
11968,10
11970,2
11971,3
11973,2
11975,13
11978,12
11980,2
12008,1
12009,20
12010,7
12020,7
12037,1
12047,6
12052,1
12054,9
12061,25
12065,19
12070,3
12075,1
12076,2
12078,8
12095,13
12106,1
12110,10
12118,3
12123,11
12125,3
12148,2
12151,1
12157,1
12159,1
12169,1
12170,2
12180,1
12183,6
12193,1
12198,9
12202,1
12203,6
12205,10
12206,13
12207,7
12208,14
12209,11
12210,208
12222,3
12302,1
12303,8
12305,47
12306,2
12307,16
12308,2
12309,2
12401,7
12417,18
12428,6
12446,8
12449,1
12453,8
12455,6
12472,3
12477,1
12484,3
12489,2
12501,2
12504,1
12507,2
12508,56
12514,1
12515,1
12518,1
12524,36
12528,4
12531,1
12533,5
12534,4
12538,13
12540,19
12550,16
12553,16
12561,7
12564,2
12566,9
12567,1
12569,1
12574,2
12575,1
12577,1
12578,5
12582,1
12583,4
12586,2
12589,2
12590,10
12594,4
12601,66
12604,14
12701,17
12721,3
12746,8
12754,12
12786,2
12789,1
12790,2
12801,19
12804,9
12816,1
12831,1
12834,1
12839,2
12861,1
12866,17
12871,1
12901,26
12903,1
12936,1
12937,1
12956,2
12972,2
12977,1
12979,2
12983,12
12986,2
13024,21
13027,3
13031,5
13032,8
13035,1
13036,1
13039,5
13045,13
13057,69
13066,10
13078,1
13084,1
13088,7
13090,7
13108,2
13126,23
13135,1
13148,1
13159,11
13164,9
13165,1
13202,194
13203,5
13205,1
13206,1
13208,7
13210,6
13212,16
13214,9
13215,1
13219,6
13302,1
13303,6
13316,1
13323,2
13340,3
13346,4
13367,5
13408,1
13413,3
13421,6
13425,3
13440,14
13441,1
13476,1
13478,2
13492,6
13495,1
13501,23
13502,8
13601,33
13605,3
13616,2
13617,16
13619,1
13626,2
13638,2
13642,1
13662,20
13666,4
13669,6
13676,28
13694,4
13730,2
13733,1
13753,8
13760,4
13790,1
13815,3
13820,23
13850,1
13860,1
13901,1
13902,27
13903,1
14020,2
14026,1
14031,5
14043,5
14048,3
14063,1
14072,4
14075,16
14086,11
14094,30
14105,9
14108,1
14120,4
14132,1
14150,31
14170,1
14172,3
14174,10
14201,3
14202,157
14203,4
14206,13
14207,3
14209,17
14210,5
14211,21
14214,9
14216,11
14217,1
14218,1
14220,4
14221,5
14222,1
14223,1
14224,2
14225,2
14226,4
14227,1
14228,1
14301,2
14302,18
14304,5
14305,1
14414,15
14420,3
14424,12
14425,18
14437,5
14441,3
14450,9
14454,15
14456,3
14464,6
14472,11
14502,16
14507,1
14510,2
14513,3
14521,9
14522,1
14526,6
14532,3
14534,8
14559,9
14564,1
14572,1
14580,16
14589,1
14590,1
14605,15
14606,7
14607,4
14609,7
14610,9
14611,5
14612,8
14613,6
14614,76
14616,3
14617,10
14618,4
14619,3
14620,9
14621,1
14623,7
14624,17
14626,13
14701,12
14720,2
14738,11
14750,5
14755,1
14760,3
14802,2
14814,1
14830,2
14843,20
14845,1
14850,31
14853,2
14869,1
14870,1
14895,2
14904,20
14905,3
15001,1
15003,1
15009,3
15010,10
15012,4
15014,2
15017,1
15025,2
15044,2
15049,3
15056,6
15057,1
15061,4
15066,1
15067,3
15085,2
15101,2
15102,4
15108,5
15110,3
15112,34
15120,1
15122,1
15126,8
15129,1
15131,1
15136,5
15139,1
15140,37
15143,2
15146,1
15147,1
15201,15
15202,5
15203,6
15204,2
15205,10
15206,4
15207,9
15208,1
15210,9
15211,1
15213,17
15214,1
15215,5
15216,4
15217,6
15219,21
15220,11
15222,222
15224,2
15226,3
15227,1
15232,3
15235,1
15236,5
15237,5
15238,1
15239,5
15241,10
15301,4
15358,3
15361,1
15363,2
15425,5
15432,1
15451,5
15458,1
15466,3
15472,6
15482,1
15552,6
15601,8
15622,4
15641,1
15642,12
15661,2
15666,5
15668,7
15701,10
15739,2
15767,1
